Temp_ID,Al2O3,B2O3,BaO,CaO,K2O,Li2O,MgO,Na2O,P2O5,SiO2,SnO2,SrO,TiO2,ZnO,ZrO2,value
1555,1.320000029,0,0,10.3699997,0.749999987,0,2.690000009,10.51000004,0,58.90000047,0,0,0,15.45999976,0,0.253
1558,8.940357321,0,0,26.62106606,0,0,0.016000641,0,0,64.42257598,0,0,0,0,0,0.253
1560,9.729999449,0,0,26.36000036,0,0,3.619999851,0,0,60.29000034,0,0,0,0,0,0.253
1561,3.069846544,16.33198988,0,0.314076715,0.04457863,16.90948546,0,10.19229631,0,53.07896373,0,0,0,0,0.058762738,0.253
1562,0,31.57684217,0,0,0,0,0,26.3173679,0,42.10578994,0,0,0,0,0,0.252443
1563,0,41.66583308,0,0,16.66833384,0,0,0,0,41.66583308,0,0,0,0,0,0.252418
1564,8,8,0,0,0,0,0,24,0,60,0,0,0,0,0,0.25222
1565,0,24.38999985,0,0,26.83000044,0,0,0,0,48.77999971,0,0,0,0,0,0.252053
1566,0,37.40000081,0,0,17.60000005,0,0,0,0,44.99999914,0,0,0,0,0,0.252016
1567,0,0,0,5.030000138,0,0,0,25.79000055,0,69.17999932,0,0,0,0,0,0.252
1568,19.20000058,0,0,23.10000016,0,0,0,0,7.699999736,49.99999952,0,0,0,0,0,0.252
1569,0,0,18,0,0,0,0,12,0,70,0,0,0,0,0,0.252
1570,9.130000107,16.23999976,0,3.859999892,0,0,3.829999921,0,0,63.02000041,0.07,3.839999911,0,0,0.01,0.252
1573,5.729999937,5.729999937,0,17.1200006,0,0,17.1200006,5.729999937,0,48.569999,0,0,0,0,0,0.252
1574,0,60,0,0,0,20,0,0,0,0,0,0,0,20,0,0.252
1575,0,0,0,30,2,0,2,0,0,66,0,0,0,0,0,0.252
1576,0,0,0,0,0,12.5,37.5,0,50,0,0,0,0,0,0,0.252
1577,0,0,0,0,0,33.29999924,16.70000076,0,50,0,0,0,0,0,0,0.252
1579,2.5,0,0,0,0,0,48.75,0,48.75,0,0,0,0,0,0,0.252
1584,8.689999746,0,0,25.75000049,0,0,4.119999964,0,0,61.4399998,0,0,0,0,0,0.252
1585,9.129087352,16.23837619,0,3.859613996,0,0,3.829617023,0,0,63.02369742,0.069993002,3.839616014,0,0,0.009999,0.252
1586,9.770000528,0,0,23.54999941,0,0,2.10999991,0,0,64.57000016,0,0,0,0,0,0.252
1587,18,0,0,0,0,0,10,12,0,60,0,0,0,0,0,0.251852
